# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12532f7705325ccd
# CUDA_DEVICE 0 GeForce GTX 470
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,local_load,local_store,gld_request,gst_request
125c166f013bdf60,memset32_post,5.28,72.021,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f013f6a20,memset32_post,3.424,56.319,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f01430800,memset32_post,3.456,55.295,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f01469520,memset32_post,3.424,55.637,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f014a8cc0,memset32_post,3.456,39.594,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f014dd660,memset32_post,3.456,35.498,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f0150fde0,memset32_post,3.424,34.816,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f01543240,memset32_post,3.424,34.133,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
125c166f015f5000,_Z15ComputeGuassianPfi,13.632,47.786,0.021,1,1,3,3,1,0,16,16,1,,1,0,0,12,5
125c166f0160d6e0,memcpyDtoH,1.92,29.696,,,,,,,,,,1,36
125c166f1118fea0,memcpyHtoD,37784.1,37864.4,,,,,,,,,,1,146546688
125c166f135deb00,_Z6MakeBWPfS_S_S_ii,2273.95,2348.69,1,134,178,32,16,1,0,0,16,1,,1692,0,0,81744,54501
125c166f1385fbe0,_Z12GaussianBlurv,8566.5,8608.68,0.667,134,178,32,16,1,2660,0,24,1,,1705,0,0,508759,27264
125c166f140c3ac0,_Z12CopyToBufferv,933.344,973.132,1,134,178,32,16,1,0,0,9,1,,1721,0,0,82032,27344
125c166f141ea580,_Z12FindGradientv,12240.9,12279.3,0.667,134,178,32,16,1,2660,0,24,1,,1705,0,0,726993,54528
125c166f14dce340,_Z12CopyToBufferv,934.336,973.132,1,134,178,32,16,1,0,0,9,1,,1710,0,0,81888,27296
125c166f14ef1d00,_Z11Suppressionv,7751.74,7787.44,1,134,178,32,16,1,0,0,16,1,,1709,0,0,691077,284995
125c166f1568fe20,_Z12CopyToBufferv,933.92,977.228,1,134,178,32,16,1,0,0,9,1,,1712,0,0,82032,27344
125c166f15870e00,memcpyDtoH,18693.9,18940.7,,,,,,,,,,1,48848896
