# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12532f771a3e5172
# CUDA_DEVICE 0 GeForce GTX 470
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,local_load,local_store,gld_request,gst_request
1259eb9209bc3300,memset32_post,5.28,50.176,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209bf6880,memset32_post,3.424,34.816,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209c2b7e0,memset32_post,3.456,34.474,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209c60080,memset32_post,3.424,33.45,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209ca5fe0,memset32_post,3.68,76.458,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209cd9d80,memset32_post,3.424,35.498,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209d0f980,memset32_post,3.424,34.816,0.042,1,1,64,1,1,0,0,6,1,,1,0,0,0,1
1259eb9209dc3740,_Z15ComputeGuassianPfi,12.736,49.152,0.021,1,1,3,3,1,0,4,16,1,,1,0,0,12,4
1259eb9209ddbf00,memcpyDtoH,1.92,29.354,,,,,,,,,,1,36
1259eb9234e57660,memcpyHtoD,37900.4,37945.3,,,,,,,,,,1,146546688
1259eb92372bf9c0,_Z6MakeBWPfS_S_S_ii,2259.42,2312.51,1,134,178,32,16,1,0,0,16,1,,1709,0,0,81600,54405
1259eb9237530580,_Z12GaussianBlurv,10187.1,10229.3,0.667,134,178,32,16,1,0,0,24,1,,1703,0,0,846626,27296
1259eb9237f2a480,_Z12CopyToBufferv,909.312,985.42,1,134,178,32,16,1,0,0,9,1,,1705,0,0,81840,27280
1259eb9238049740,_Z12FindGradientv,22784.1,22820.6,0.667,134,178,32,16,1,0,0,24,1,,1702,0,0,1557324,54592
1259eb923963f540,_Z12CopyToBufferv,911.136,978.252,1,134,178,32,16,1,0,0,9,1,,1702,0,0,81840,27280
1259eb923976d740,_Z11Suppressionv,7684.16,7723.27,1,134,178,32,16,1,0,0,16,1,,1709,0,0,684006,278873
1259eb9239efbc60,_Z12CopyToBufferv,909.824,951.969,1,134,178,32,16,1,0,0,9,1,,1702,0,0,81936,27312
1259eb923a014b40,_Z10hysteresisv,1309.57,1350.64,1,134,178,32,16,1,0,0,15,1,,1693,0,0,91731,29615
1259eb923a256140,memcpyDtoH,28864,29206.9,,,,,,,,,,1,48848896
